Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
MO,Tyrone                                                          ,37.2,-91.9,7,8,1,8,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.                                                                                                                ",2015
MT,Fergus County High School                                       ,47,-109.5,1,1,3,4,"On December 4, 1986, a 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.                                                                                                                                                                                                                                                                                                   ",1986
NE,"Omaha, Nebraska                                                 ",41.3,-96.1,2,2,3,5,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.                                                                                                                                                                                                                                                                                                                                               ,2015
NV,Sparks Middle School                                            ,39.5,-119.7,1,2,2,3,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself.                                                                                                                                                                                                                                                                                                                                                                                                  ",2013
NV,Nellis Plaza                                                    ,36.2,-115.3,3,5,0,3,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.                                                                                                                                                                                                                      ",2014
NJ,Ridgewood Post Office                                           ,41,-74.1,3,3,0,3,"On October 10, 1991, a 35-year old former postal clerk, apparently seeking revenge for his dismissal, killed his former supervisor with sword and shot her boyfriend at their home. Then entered the post office where he used to work in Ridgewood, New Jersey, and killed two of his former co-workers. After a four-hour standoff with police, the shooter was arrested. Before leaving his apartment, the shooter rigged a homemade bomb of explosives to his front door.                                                                             ",1991
NM,South Valley Residence                                          ,35.2,-106.8,5,5,0,5,"On January 19, 2013, a 15-year old homeschooled student shot and killed his mother and three younger siblings in their residential home in South Valley, New Mexico. The shooter then waited up five hours for his father, a former pastor, to arrive home. When the father got home, the son shot him several times and killed him. Apparently, he was planning to go on a killing spree afterwards. Instead he went to church and was later arrested.                                                                                                   ",2013
NM,"Albuquerque, NM House party shooting                            ",35.1,-106.6,0,0,4,4,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.                                                                                                                                                                                                                                                                                                                                                                                    ,2016
NY,Mohawk and Herkimer Villages in New York                        ,43,-75,4,5,2,6,"On March 13, 2013, an unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed to other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.                                                                           ",2013
NY,Gates Pub                                                       ,43.2,-77.7,1,1,6,7,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.                                                                                                                                                                                                                                                                                                                                                                                                                          ",2015
