CODE,Title,Latitude,Longitude,Total Number of Victims,Description,Day of Week,Shooter Race,Targeted Victim/s - Detailed
IL,Village of Manchester in Illinois                               ,39.5,-90.3,7,"On April 24 2013 a 43-year old man traveled to the home of his former partner's family in Manchester Illinois. He shot and killed three adults (one  of them pregnant) a boy and an infant all members of the same family. There was a third child who after shooting her the shooter took to a neighbor's house, she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.                                               ",Wednesday,White American or European American       ,The initial targeted victim/s of the shooter were his former romantic partner and her family.                                                                                                                                                                                        
IL,Navistar International                                          ,41.9,-87.9,9,On February 5 2001 a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park Illinois with firearms forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.                                                                                                                                                                                                    ,Monday   ,Black American or African American        ,Supervisors coworkers                                                                                                                                                                                                                                                               
IL,Windy City Core Supply Warehouse                                ,41.8,-87.7,6,On August 27 2003 a 36-year-old former employee of Windy City Core Supply in Chicago Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers killing six. He was later killed in a shoot-out with the police.                                                                                                                                                                                                                                                             ,Wednesday,Some other race                           ,Supervisors coworkers                                                                                                                                                                                                                                                               
IL,Chicago Birthday Party Bus Shooting                             ,41.9,-87.6,5,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects.                                                                                                                                                                                                                                                                                                                                     ,Thursday ,Unknown                                   ,Five people aged between 22 and 30. Four were taken to the hospital. None have been named.                                                                                                                                                                                           
IN,Indianapolis                                                    ,39.8,-86.1,5,On Sunday  evening of April 5 three suspects entered the apartment fired multiple shots and then fled the scene. Five people were injured three of them were children. One of three suspects was arrested.                                                                                                                                                                                                                                                                                                                                            ,Sunday   ,Unknown                                   ,Two women and three children. The suspects know the victims and they were inside the apartment when the shooting happened. There was no forced entry.                                                                                                                                
KS,Hesston Kansas                                                 ,38.1,-97.4,17,On Friday 90 minutes after receiving a court order over domestic violence the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others killing three of them had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.                                                                           ,Thursday ,Black American or African American        ,He fired randomly at coworkers. Three people were killed and fourteen others were wounded and at least five of those victims are in critical condition.                                                                                                                             
KS,Kansas City Home Invasion                                       ,39.1,-94.6,4,Shooter killed four people at his next door neighbors house. He fled the scene but was captured the next day hiding in a ditch. It is seen as a random act.                                                                                                                                                                                                                                                                                                                                                                                             ,Monday   ,Some other race                           ,Four males were shot in the house next door to where the shooter lived.                                                                                                                                                                                                              
KS,Goddard Junior High School                                      ,37.7,-97.6,4,On January 21 1985 a 14-year-old student entered Goddard Junior High School in Goddard Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.                                                                                                                                                                                                                                                                                        ,Monday   ,White American or European American       ,School principal two teachers and one student                                                                                                                                                                                                                                       
KY,Louisville Kentucky                                            ,38.3,-85.8,3,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.                                                                                                                                                                                                                                                                                                                                    ,Sunday   ,White American or European American       ,The shooter's wife and two children                                                                                                                                                                                                                                                  
KY,Atlantis Plastics                                               ,37.8,-87.6,7,On June 25 2008 a 25-year-old factory worker at Atlantis Plastics in Henderson Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting killing his supervisor five employees and wounded a sixth before committing suicide.                                                                                                                                                                                                                                                       ,Wednesday,White American or European American       ,Supervisors coworkers                                                                                                                                                                                                                                                               
KY,Heath High School                                               ,37.1,-88.7,8,On December 1 1997 a 14-year-old student at Heath High School in West Paducah Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.                                                                                                                                                                                                                   ,Monday   ,White American or European American       ,Students                                                                                                                                                                                                                                                                             
LA,New Orleans Police Shootings                                    ,30.1,-89.9,22,On New Year's Eve in 1972 a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7 1973 the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.                                                                                                                                                                                                ,Sunday   ,Black American or African American        ,Police officers and members of the public                                                                                                                                                                                                                                            
LA,New Orleans gas station shoot-out                               ,30,-90.1,3,Altercation broke out at a gas station in New Orleans when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.                                                                                                                                                                                                                                                                                                                                                                                           ,Sunday   ,Black American or African American        ,Unknown                                                                                                                                                                                                                                                                              
LA,Lafayette LA drive by                                          ,30.2,-92,4,Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette LA. There were multiple shooters in the Ford f-150 truck truck fled the scene. No leads.                                                                                                                                                                                                                                                                                                                                                            ,Monday   ,Unknown                                   ,Four males                                                                                                                                                                                                                                                                           
MD,Tire-Slashing revenge escalation                                ,39.3,-76.6,4,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.                                                                                                                                                                                                                                                                                                                                                                                                                   ,Thursday ,Black American or African American        ,Doesn't seem there was one particular target but the shooter was seemingly getting revenge on a group of people. He hit a 12 16 18 and 33-year-old.                                                                                                                              
MA,Massachusetts Abortion Clinic                                   ,42.3,-71.1,7,On December 30 1994 a man entered a Planned Parenthood clinic shot and killed the receptionist and opened fire in the clinic wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people killing one.                                                                                                                                                                                                                                                                                             ,Friday   ,White American or European American       ,People inside an abortion clinic                                                                                                                                                                                                                                                     
MA,Simon's Rock College of Bard                                    ,42.2,-73.4,6,On December 14 1992 an 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington Massachusetts. Before turning himself in to police he killed a student and a teacher and wounded four others.                                                                                                                                                                                                                                                                                                                              ,Monday   ,Asian American                            ,Students teachers                                                                                                                                                                                                                                                                   
MA,Edgewater Technology                                            ,42.3,-71.1,7,On December 26 2000 a 42-year-old computer technician at Edgewater Technology in Wakefield Massachusetts entered his office and began shooting at managers and coworkers killing seven before he was arrested. He claimed he was sent as a time-traveler to kill Nazis and his insanity plea was denied.                                                                                                                                                                                                                                             ,Tuesday  ,Some other race                           ,Supervisors coworkers                                                                                                                                                                                                                                                               
